NOME,SOBRENOME,EMAIL,SEXO,DATA_NASCIMENTO,SALARIO,EMPRESA,ANOS_CLIENTE,AVALIACAO_EMPRESA,PARTICIPOU_DE_CAMPANHA,INDICARIA_EMPRESA
Arthur,Fernandes,ArthurRibeiroFernandes@gustr.com,M,1972-06-14T00:00:00.000Z,5027.51,Ifood,6,3,1,1
Vinicius,Souza,ViniciusGomesSouza@armyspy.com,M,1980-11-13T00:00:00.000Z,7934.21,Ifood,0,1,0,0
José,Fernandes,JosePereiraFernandes@cuvox.de,M,1980-05-19T00:00:00.000Z,6389.18,Ifood,4,1,1,1
Vinícius,Cavalcanti,ViniciusBarrosCavalcanti@jourrapide.com,null,1979-02-20T00:00:00.000Z,5143.09,Ifood,8,1,0,0
Beatrice,Barbosa,BeatriceSouzaBarbosa@rhyta.com,F,1990-11-27T00:00:00.000Z,6954.73,Ifood,5,3,0,1
Julieta,Rodrigues,JulietaAraujoRodrigues@teleworm.us,F,1963-08-29T00:00:00.000Z,5269.48,Ifood,8,1,0,1
Beatriz,Souza,BeatrizCostaSouza@cuvox.de,F,1950-08-14T00:00:00.000Z,6580.01,Ifood,5,2,0,0
Beatriz,Rocha,BeatrizRibeiroRocha@supermail.com,F,1946-09-06T00:00:00.000Z,7906.83,Ifood,6,1,0,0
Sophia,Alves,SophiaCorreiaAlves@jourrapide.com,F,1972-09-20T00:00:00.000Z,9578.11,Ifood,8,3,1,0
Esteva,Carvalho,EstevanMartinsCarvalho@cuvox.de,M,1960-09-17T00:00:00.000Z,5452.67,Ifood,7,3,1,1
Daniel,Cavalcanti,DanielAraujoCavalcanti@supermail.com,M,1960-04-01T00:00:00.000Z,8585.59,Ifood,1,4,0,1
Kauã,Alves,KauaCostaAlves@supermail.com,M,1985-05-22T00:00:00.000Z,7046.86,Zoop,7,5,1,0
Carlos,Azevedo,CarlosCostaAzevedo@supermail.com,M,1966-09-22T00:00:00.000Z,7428.54,Zoop,0,9,1,0
Júlio,Cunha,JulioCostaCunha@rhyta.com,M,1970-05-20T00:00:00.000Z,8620.65,Zoop,6,9,1,0
Gabriela,Cunha,GabrielaCavalcantiCunha@superrito.com,F,1949-07-18T00:00:00.000Z,8167.43,Zoop,7,7,1,0
Kaua,Goncalves,KauaFernandesGoncalves@superrito.com,M,1953-08-01T00:00:00.000Z,6102.34,Zoop,0,1,1,0
Tânia,Lima,TaniaCunhaLima@einrot.com,F,1992-12-17T00:00:00.000Z,5265.6,Zoop,0,7,1,0
Marina,Pereira,MarinaPintoPereira@jourrapide.com,F,1977-06-21T00:00:00.000Z,5255.14,Zoop,1,2,0,0
Bruno,Dias,BrunoBarbosaDias@gustr.com,M,1946-05-31T00:00:00.000Z,5642.69,Zoop,6,1,0,0
Matilde,Barbosa,MatildePereiraBarbosa@einrot.com,F,1984-09-26T00:00:00.000Z,5163.69,Zoop,7,8,0,0
Isabella,Santos,IsabellaSilvaSantos@teleworm.us,F,1971-05-22T00:00:00.000Z,8410.25,Zoop,6,9,1,1
Rafaela,Silva,RafaelaBarbosaSilva@cuvox.de,F,1949-11-24T00:00:00.000Z,9009.66,Zoop,3,4,1,1
Enzo,Cavalcanti,EnzoLimaCavalcanti@gustr.com,M,1957-02-26T00:00:00.000Z,7440.67,Zoop,8,6,1,0
Vinicius,Ferreira,ViniciusCunhaFerreira@gustr.com,M,1992-07-29T00:00:00.000Z,8034.24,Zoop,9,5,1,0
Lua,Oliveira,LuanCarvalhoOliveira@cuvox.de,M,1985-05-12T00:00:00.000Z,6774.67,Zoop,7,2,1,0
Lara,Melo,LaraSouzaMelo@cuvox.de,F,1973-05-08T00:00:00.000Z,9863.52,Zoop,4,8,0,0
Luiza,Melo,LuizaCunhaMelo@einrot.com,F,1944-12-13T00:00:00.000Z,8276.02,Zoop,3,5,0,0
Emily,Rodrigues,EmilyMartinsRodrigues@fleckens.hu,F,1964-05-19T00:00:00.000Z,8919.71,Sympla,7,3,0,1
Brenda,Castro,BrendaCostaCastro@gustr.com,F,1975-04-20T00:00:00.000Z,7629.18,Sympla,5,4,1,0
Vitoria,Ribeiro,VitoriaSantosRibeiro@cuvox.de,F,1946-09-09T00:00:00.000Z,9941.88,Sympla,8,8,0,1
Danilo,Alves,DaniloCavalcantiAlves@rhyta.com,M,1972-05-16T00:00:00.000Z,7958.59,Sympla,1,1,0,0
Luís,Costa,LuisAzevedoCosta@rhyta.com,M,1984-10-04T00:00:00.000Z,5245.14,Sympla,6,3,0,0
Isabelle,Souza,IsabelleSantosSouza@gustr.com,F,1957-02-09T00:00:00.000Z,5055.56,Sympla,8,8,1,0
Leonardo,Pinto,LeonardoGomesPinto@supermail.com,M,1969-07-31T00:00:00.000Z,8617.9,Sympla,0,7,1,0
Diego,Ribeiro,DiegoCardosoRibeiro@jourrapide.com,M,1987-09-05T00:00:00.000Z,5760.47,Sympla,3,7,1,1
Sophia,Azevedo,SophiaCastroAzevedo@einrot.com,F,1984-11-02T00:00:00.000Z,7032.56,Sympla,4,3,0,1
Beatriz,Lima,BeatrizSouzaLima@gustr.com,F,1980-02-23T00:00:00.000Z,7574.88,Sympla,5,1,0,0
Felipe,Oliveira,FelipeFerreiraOliveira@supermail.com,M,1976-10-14T00:00:00.000Z,7896.12,Sympla,0,1,1,1
Marisa,Oliveira,MarisaBarrosOliveira@fleckens.hu,F,1981-10-11T00:00:00.000Z,7872.03,Sympla,1,2,0,0
Rebeca,Ferreira,RebecaMeloFerreira@jourrapide.com,F,1984-06-24T00:00:00.000Z,8329.24,Sympla,4,2,1,1
Kauã,Rodrigues,KauaOliveiraRodrigues@cuvox.de,M,1990-03-31T00:00:00.000Z,8330.46,Sympla,1,8,0,1
Carla,Silva,CarlaAraujoSilva@rhyta.com,F,1972-03-04T00:00:00.000Z,7715.29,Sympla,8,1,0,0
Leonor,Santos,LeonorSousaSantos@rhyta.com,F,1986-11-29T00:00:00.000Z,9048.8,Sympla,2,5,0,1
Kaua,Castro,KauaBarbosaCastro@teleworm.us,M,1992-05-04T00:00:00.000Z,6781.46,Sympla,6,9,0,0
Eduarda,Dias,EduardaRodriguesDias@cuvox.de,F,1982-08-31T00:00:00.000Z,8433.6,Sympla,5,8,0,1
Ágatha,Oliveira,AgathaCorreiaOliveira@jourrapide.com,F,1953-02-04T00:00:00.000Z,5900.22,Sympla,6,4,0,0
Mateus,Ribeiro,MateusGomesRibeiro@armyspy.com,M,1973-07-28T00:00:00.000Z,5472.01,Ifood,8,9,1,1
Emilly,Santos,EmillyCostaSantos@gustr.com,null,1983-07-31T00:00:00.000Z,8891.03,Ifood,4,2,1,1
Nicole,Martins,NicoleCostaMartins@gustr.com,F,1952-05-19T00:00:00.000Z,8436.75,Ifood,0,8,1,1
Rebeca,Carvalho,RebecaPintoCarvalho@supermail.com,F,1969-08-04T00:00:00.000Z,7932.41,Ifood,8,6,0,0
Sophia,Almeida,SophiaCardosoAlmeida@fleckens.hu,F,1988-03-14T00:00:00.000Z,7874.06,Ifood,8,0,0,1
José,Carvalho,JoseAzevedoCarvalho@fleckens.hu,M,1976-05-08T00:00:00.000Z,6994.14,Ifood,9,1,0,0
Gabrielle,Cavalcanti,GabrielleFernandesCavalcanti@einrot.com,F,1971-03-07T00:00:00.000Z,8291.67,Ifood,7,9,1,1
Thaís,Goncalves,ThaisBarbosaGoncalves@supermail.com,F,1959-07-02T00:00:00.000Z,8469.63,Ifood,2,2,0,0
Leonardo,Rodrigues,LeonardoAlmeidaRodrigues@superrito.com,M,1950-05-14T00:00:00.000Z,8729.41,Ifood,0,6,1,1
Julia,Sousa,JulianCunhaSousa@cuvox.de,M,1979-09-21T00:00:00.000Z,7766.44,Sympla,7,8,1,0
Manuela,Goncalves,ManuelaSouzaGoncalves@cuvox.de,F,1994-05-30T00:00:00.000Z,9139.5,Sympla,0,5,0,0
Laura,Cavalcanti,LauraPereiraCavalcanti@armyspy.com,F,1944-05-29T00:00:00.000Z,9690.69,Sympla,4,8,1,0
Arthur,Goncalves,ArthurAzevedoGoncalves@fleckens.hu,M,1978-06-10T00:00:00.000Z,8441.49,Sympla,3,2,0,1
Kauê,Ribeiro,KaueRodriguesRibeiro@fleckens.hu,M,1955-09-21T00:00:00.000Z,8067.21,Sympla,0,8,0,1
Rafael,Barbosa,RafaelOliveiraBarbosa@supermail.com,M,1984-04-26T00:00:00.000Z,7561.58,Sympla,3,6,1,0
Sophia,Almeida,SophiaCardosoAlmeida@fleckens.hu,F,1988-03-14T00:00:00.000Z,7874.06,Ifood,6,7,0,1
José,Carvalho,JoseAzevedoCarvalho@fleckens.hu,M,1976-05-08T00:00:00.000Z,6994.14,Ifood,7,0,1,0
Gabrielle,Cavalcanti,GabrielleFernandesCavalcanti@einrot.com,F,1971-03-07T00:00:00.000Z,8291.67,Ifood,6,4,0,1
Thaís,Goncalves,ThaisBarbosaGoncalves@supermail.com,F,1959-07-02T00:00:00.000Z,8469.63,Ifood,9,8,1,0
Leonardo,Rodrigues,LeonardoAlmeidaRodrigues@superrito.com,M,1950-05-14T00:00:00.000Z,8729.41,Ifood,6,7,1,1
Julia,Sousa,JulianCunhaSousa@cuvox.de,M,1979-09-21T00:00:00.000Z,7766.44,Sympla,2,5,1,0
Manuela,Goncalves,ManuelaSouzaGoncalves@cuvox.de,F,1994-05-30T00:00:00.000Z,9139.5,Sympla,7,8,1,1
Laura,Cavalcanti,LauraPereiraCavalcanti@armyspy.com,F,1944-05-29T00:00:00.000Z,9690.69,Sympla,7,7,1,1
Arthur,Goncalves,ArthurAzevedoGoncalves@fleckens.hu,M,1978-06-10T00:00:00.000Z,8441.49,Sympla,6,3,0,1
Kauê,Ribeiro,KaueRodriguesRibeiro@fleckens.hu,M,1955-09-21T00:00:00.000Z,8067.21,Sympla,6,2,1,0
Rafael,Barbosa,RafaelOliveiraBarbosa@supermail.com,M,1984-04-26T00:00:00.000Z,7561.58,Sympla,3,2,0,1
Rya,Barros,RyanAraujoBarros@cuvox.de,M,1987-04-06T00:00:00.000Z,5304.03,Sympla,1,8,1,0
Carlos,Cunha,CarlosCorreiaCunha@gustr.com,M,1946-04-14T00:00:00.000Z,8001.23,Sympla,8,5,0,0
Gabrielly,Martins,GabriellyOliveiraMartins@cuvox.de,F,1964-10-18T00:00:00.000Z,8824.7,Sympla,9,3,0,1
Julieta,Cardoso,JulietaRochaCardoso@armyspy.com,F,1969-06-22T00:00:00.000Z,5550.63,Sympla,5,9,1,1
Martim,Barbosa,MartimSousaBarbosa@teleworm.us,M,1963-10-16T00:00:00.000Z,8201.13,Sympla,8,6,0,1
Laura,Azevedo,LauraFerreiraAzevedo@einrot.com,F,1963-06-02T00:00:00.000Z,8511.53,Sympla,5,0,0,1
Nicole,Correia,NicoleAzevedoCorreia@superrito.com,F,1951-12-22T00:00:00.000Z,8317.79,Sympla,9,0,0,1
Danilo,Pereira,DaniloCavalcantiPereira@jourrapide.com,M,1994-09-26T00:00:00.000Z,7502.66,Sympla,9,0,0,0
Erick,Gomes,ErickMartinsGomes@armyspy.com,M,1971-03-18T00:00:00.000Z,5174.46,Sympla,4,3,1,0
Giovanna,Oliveira,GiovannaMeloOliveira@jourrapide.com,F,1980-12-26T00:00:00.000Z,9733.15,Sympla,0,1,0,0
Sophia,Correia,SophiaRochaCorreia@teleworm.us,F,1994-01-22T00:00:00.000Z,5406.27,Sympla,9,1,0,0
Evely,Almeida,EvelynAzevedoAlmeida@jourrapide.com,F,1989-03-28T00:00:00.000Z,9709.22,Sympla,1,7,0,1
Evely,Fernandes,EvelynPereiraFernandes@cuvox.de,F,1957-12-18T00:00:00.000Z,9156.55,Sympla,9,6,1,0
Luana,Oliveira,LuanaCavalcantiOliveira@cuvox.de,F,1946-05-23T00:00:00.000Z,8011.57,Sympla,2,0,0,1
Nicole,Rodrigues,NicoleMartinsRodrigues@rhyta.com,F,1953-08-16T00:00:00.000Z,9772.61,Sympla,0,6,0,1
Breno,Oliveira,BrenoMeloOliveira@jourrapide.com,M,1964-09-08T00:00:00.000Z,6960.44,Sympla,0,3,0,1
Brenda,Castro,BrendaCostaCastro@gustr.com,F,1975-04-20T00:00:00.000Z,9923.97,Sympla,7,1,1,1
Sofia,Araujo,SofiaOliveiraAraujo@fleckens.hu,F,1958-11-30T00:00:00.000Z,5253.75,Ifood,0,3,1,0
Júlia,Fernandes,JuliaCardosoFernandes@armyspy.com,F,1976-01-16T00:00:00.000Z,7395.45,Ifood,5,6,1,0
Mariana,Cavalcanti,MarianaPereiraCavalcanti@supermail.com,F,1972-04-23T00:00:00.000Z,8694.06,Ifood,3,3,0,1
Tiago,Ferreira,TiagoRibeiroFerreira@teleworm.us,M,1962-03-27T00:00:00.000Z,6710.05,Ifood,0,8,1,1
Júlia,Fernandes,null,F,1994-10-03T00:00:00.000Z,5335.61,Ifood,7,5,0,1
André,Sousa,AndreDiasSousa@rhyta.com,M,1985-11-17T00:00:00.000Z,5345.71,Ifood,0,7,1,0
Júlia,Santos,JuliaCostaSantos@jourrapide.com,F,1954-05-19T00:00:00.000Z,6351.18,Ifood,5,8,1,0
Enzo,Santos,EnzoPintoSantos@gustr.com,M,1979-05-13T00:00:00.000Z,6014.02,Ifood,1,3,0,0
Eduardo,Barbosa,EduardoGomesBarbosa@gustr.com,M,1968-08-05T00:00:00.000Z,7450.18,Ifood,5,9,0,1
Daniel,Santos,DanielFerreiraSantos@supermail.com,M,1955-11-17T00:00:00.000Z,9671.59,Ifood,4,2,0,0
Samuel,Correia,SamuelRochaCorreia@superrito.com,M,1958-05-19T00:00:00.000Z,9072.3,Ifood,8,9,1,1
Antônio,Oliveira,AntonioPereiraOliveira@fleckens.hu,M,1960-08-16T00:00:00.000Z,7309.32,Ifood,4,4,0,0
Melissa,Azevedo,MelissaMeloAzevedo@fleckens.hu,F,1975-01-29T00:00:00.000Z,5976.51,Sympla,9,1,1,1
Guilherme,Costa,GuilhermeFernandesCosta@jourrapide.com,M,1959-05-22T00:00:00.000Z,9509.27,Sympla,9,0,1,0
Julia,Costa,JuliaFerreiraCosta@supermail.com,F,1984-09-15T00:00:00.000Z,7751.33,Sympla,1,6,0,1
Diogo,Lima,DiogoRodriguesLima@gustr.com,M,1952-01-26T00:00:00.000Z,5818.94,Sympla,1,5,0,1
Beatriz,Souza,BeatrizCavalcantiSouza@armyspy.com,F,1985-09-04T00:00:00.000Z,6361.9,Sympla,3,0,1,1
Sophia,Goncalves,SophiaBarrosGoncalves@superrito.com,F,1974-03-07T00:00:00.000Z,5515.81,Sympla,4,9,1,0
Kaua,Ribeiro,KauaAlvesRibeiro@fleckens.hu,M,1983-01-22T00:00:00.000Z,7107.75,Sympla,6,8,1,1
Ágatha,Barbosa,AgathaLimaBarbosa@superrito.com,F,1984-10-12T00:00:00.000Z,8071.92,Sympla,2,5,1,1
Vinicius,Souza,ViniciusGoncalvesSouza@gustr.com,M,1983-06-17T00:00:00.000Z,5004.63,Sympla,0,7,1,1
Beatrice,Martins,BeatriceCavalcantiMartins@gustr.com,F,1972-01-21T00:00:00.000Z,7091.29,Sympla,0,4,0,0
Isabelle,Pinto,IsabelleGomesPinto@armyspy.com,F,1983-07-07T00:00:00.000Z,7630.14,Sympla,5,1,1,0
Beatriz,Correia,BeatrizOliveiraCorreia@teleworm.us,F,1967-05-19T00:00:00.000Z,8995.78,Sympla,2,1,0,0
Thaís,Barros,ThaisFerreiraBarros@cuvox.de,F,1986-12-30T00:00:00.000Z,7010.51,Sympla,6,7,0,1
Marcos,Castro,MarcosAlvesCastro@armyspy.com,M,1949-11-23T00:00:00.000Z,8521.7,Sympla,0,4,0,0
Emily,Lima,EmilyCorreiaLima@cuvox.de,F,1981-10-16T00:00:00.000Z,8862.87,Sympla,9,2,0,1
Arthur,Araujo,ArthurMeloAraujo@cuvox.de,M,1979-11-05T00:00:00.000Z,9577.64,Sympla,6,8,1,1
Bruno,Almeida,BrunoGomesAlmeida@rhyta.com,M,1989-08-26T00:00:00.000Z,5997.98,Sympla,1,4,1,1
Leila,Rodrigues,LeilaCavalcantiRodrigues@armyspy.com,F,1986-10-14T00:00:00.000Z,8950.5,Sympla,4,0,0,0
Bruno,Silva,BrunoRodriguesSilva@superrito.com,M,1974-05-12T00:00:00.000Z,6294.7,Sympla,5,9,1,1
Bianca,Araujo,null,F,1988-01-05T00:00:00.000Z,7378.17,Sympla,3,9,0,1
Marina,Barros,MarinaFernandesBarros@rhyta.com,F,1992-11-15T00:00:00.000Z,6801.09,Sympla,4,9,1,0
Thaís,Santos,ThaisMeloSantos@gustr.com,F,1954-03-14T00:00:00.000Z,6158.01,Sympla,7,7,1,1
Luiz,Ferreira,LuizDiasFerreira@supermail.com,M,1967-02-09T00:00:00.000Z,9310.95,MovilePay,2,6,0,0
Isabella,Silva,IsabellaOliveiraSilva@jourrapide.com,F,1964-04-10T00:00:00.000Z,5792.36,MovilePay,3,3,1,0
Carla,Dias,CarlaSouzaDias@cuvox.de,F,1976-01-20T00:00:00.000Z,5544.13,MovilePay,6,9,0,0
Rena,Goncalves,RenanRibeiroGoncalves@rhyta.com,M,1977-01-12T00:00:00.000Z,9499.38,MovilePay,6,5,1,0
Vitória,Pereira,VitoriaSantosPereira@fleckens.hu,F,1980-03-25T00:00:00.000Z,8448.67,MovilePay,6,8,1,0
Samuel,Lima,SamuelSilvaLima@armyspy.com,M,1973-01-28T00:00:00.000Z,5732.02,MovilePay,5,1,1,1
Caio,Rocha,CaioAzevedoRocha@einrot.com,M,1980-08-04T00:00:00.000Z,6073.01,MovilePay,4,7,1,0
Igor,Oliveira,IgorRochaOliveira@jourrapide.com,M,1992-07-24T00:00:00.000Z,6542.61,MovilePay,3,8,1,0
Rebeca,Araujo,RebecaCunhaAraujo@cuvox.de,F,1989-10-20T00:00:00.000Z,5886.39,MovilePay,3,5,1,1
Marina,Pinto,MarinaBarrosPinto@einrot.com,F,1982-10-29T00:00:00.000Z,8058.99,MovilePay,1,2,0,0
Fernanda,Araujo,FernandaPintoAraujo@teleworm.us,F,1984-01-05T00:00:00.000Z,5899.86,MovilePay,9,7,1,1
Diego,Correia,DiegoRibeiroCorreia@einrot.com,M,1986-10-06T00:00:00.000Z,9624.54,MovilePay,1,6,0,1
Lucas,Rodrigues,LucasAzevedoRodrigues@cuvox.de,M,1956-12-03T00:00:00.000Z,6702.32,MovilePay,2,3,1,1
Gustavo,Silva,GustavoFerreiraSilva@teleworm.us,M,1989-10-17T00:00:00.000Z,5899.31,MovilePay,8,1,0,1
João,Ribeiro,JoaoLimaRibeiro@einrot.com,M,1950-04-27T00:00:00.000Z,9125.77,Ifood,5,4,0,0
Lucas,Gomes,LucasDiasGomes@armyspy.com,M,1988-05-05T00:00:00.000Z,8175.99,Ifood,6,7,0,0
Livia,Rocha,LiviaPintoRocha@superrito.com,F,1964-05-19T00:00:00.000Z,5216.4,Ifood,2,3,0,0
Gabrielle,Correia,GabrielleCavalcantiCorreia@cuvox.de,F,1994-05-13T00:00:00.000Z,8302.17,Ifood,7,7,0,1
Vitor,Correia,VitorDiasCorreia@teleworm.us,M,1965-03-30T00:00:00.000Z,7017.41,Ifood,4,5,1,0
Victor,Castro,VictorCunhaCastro@einrot.com,M,1959-10-05T00:00:00.000Z,8173.65,Ifood,1,4,0,1
Camila,Rodrigues,CamilaCarvalhoRodrigues@fleckens.hu,F,1946-08-14T00:00:00.000Z,5223.18,Ifood,7,9,0,1
Júlia,Ribeiro,JuliaRochaRibeiro@superrito.com,F,1972-10-28T00:00:00.000Z,5221.45,Ifood,7,0,0,0
Isabelle,Cunha,IsabelleBarrosCunha@armyspy.com,F,1946-09-10T00:00:00.000Z,5411.25,Ifood,6,1,0,0
Emily,Fernandes,EmilyAraujoFernandes@armyspy.com,F,1960-08-26T00:00:00.000Z,5042.26,Ifood,5,3,1,1
Leila,Castro,LeilaAlmeidaCastro@teleworm.us,F,1955-11-08T00:00:00.000Z,5791.16,Ifood,8,2,1,1
Vinicius,Barros,ViniciusSousaBarros@gustr.com,M,1958-05-30T00:00:00.000Z,5977.68,Ifood,0,2,1,0
Tomás,Melo,TomasMartinsMelo@armyspy.com,M,1951-02-17T00:00:00.000Z,9054.37,Ifood,7,3,1,0
Ana,Santos,AnaDiasSantos@rhyta.com,F,1963-03-18T00:00:00.000Z,7870.01,Ifood,5,0,0,0
Giovana,Silva,GiovanaCorreiaSilva@fleckens.hu,F,1989-10-15T00:00:00.000Z,7245.37,Ifood,7,7,1,0
Melissa,Almeida,MelissaPereiraAlmeida@rhyta.com,null,1977-12-23T00:00:00.000Z,9287.68,Ifood,7,8,1,1
Luana,Azevedo,LuanaSantosAzevedo@armyspy.com,F,1954-08-16T00:00:00.000Z,5949.09,Ifood,6,4,0,0
Miguel,Ribeiro,MiguelGoncalvesRibeiro@jourrapide.com,M,1989-03-09T00:00:00.000Z,7476.63,Ifood,7,8,0,1
Kaua,Santos,KauaSilvaSantos@cuvox.de,M,1974-07-01T00:00:00.000Z,8188.77,MovilePay,1,5,0,1
Emilly,Barbosa,EmillyOliveiraBarbosa@gustr.com,F,1947-12-18T00:00:00.000Z,9427.2,MovilePay,3,9,0,1
Rebeca,Cardoso,RebecaLimaCardoso@supermail.com,F,1975-05-16T00:00:00.000Z,7767.51,MovilePay,9,4,0,1
Danilo,Santos,DaniloCardosoSantos@jourrapide.com,M,1983-09-11T00:00:00.000Z,5647.69,MovilePay,5,6,0,1
Kaua,Azevedo,KauanBarrosAzevedo@armyspy.com,M,1969-11-11T00:00:00.000Z,9034.47,MovilePay,7,3,1,1
