NOME,SOBRENOME,EMAIL,SEXO,DATA_NASCIMENTO,SALARIO,EMPRESA
Gabrielle,Cavalcanti,GabrielleFernandesCavalcanti@einrot.com,F,1971-03-07,8291.67,Ifood
Thaís,Goncalves,ThaisBarbosaGoncalves@supermail.com,F,1959-07-02,8469.63,Ifood
Leonardo,Rodrigues,LeonardoAlmeidaRodrigues@superrito.com,M,1950-05-14,8729.41,Ifood
Julia,Sousa,JulianCunhaSousa@cuvox.de,M,1979-09-21,7766.44,Sympla
Manuela,Goncalves,ManuelaSouzaGoncalves@cuvox.de,F,1994-05-30,9139.5,Sympla
Laura,Cavalcanti,LauraPereiraCavalcanti@armyspy.com,F,1944-05-29,9690.69,Sympla
Arthur,Goncalves,ArthurAzevedoGoncalves@fleckens.hu,M,1978-06-10,8441.49,Sympla
Kauê,Ribeiro,KaueRodriguesRibeiro@fleckens.hu,M,1955-09-21,8067.21,Sympla
Rafael,Barbosa,RafaelOliveiraBarbosa@supermail.com,M,1984-04-26,7561.58,Sympla
Sophia,Almeida,SophiaCardosoAlmeida@fleckens.hu,F,1988-03-14,7874.06,Ifood
José,Carvalho,JoseAzevedoCarvalho@fleckens.hu,M,1976-05-08,6994.14,Ifood
Gabrielle,Cavalcanti,GabrielleFernandesCavalcanti@einrot.com,F,1971-03-07,8291.67,Ifood
Thaís,Goncalves,ThaisBarbosaGoncalves@supermail.com,F,1959-07-02,8469.63,Ifood
Leonardo,Rodrigues,LeonardoAlmeidaRodrigues@superrito.com,M,1950-05-14,8729.41,Ifood
Julia,Sousa,JulianCunhaSousa@cuvox.de,M,1979-09-21,7766.44,Sympla
Manuela,Goncalves,ManuelaSouzaGoncalves@cuvox.de,F,1994-05-30,9139.5,Sympla
Laura,Cavalcanti,LauraPereiraCavalcanti@armyspy.com,F,1944-05-29,9690.69,Sympla
Arthur,Goncalves,ArthurAzevedoGoncalves@fleckens.hu,M,1978-06-10,8441.49,Sympla
Kauê,Ribeiro,KaueRodriguesRibeiro@fleckens.hu,M,1955-09-21,8067.21,Sympla
Rafael,Barbosa,RafaelOliveiraBarbosa@supermail.com,M,1984-04-26,7561.58,Sympla
Rya,Barros,RyanAraujoBarros@cuvox.de,M,1987-04-06,5304.03,Sympla
Carlos,Cunha,CarlosCorreiaCunha@gustr.com,M,1946-04-14,8001.23,Sympla
Gabrielly,Martins,GabriellyOliveiraMartins@cuvox.de,F,1964-10-18,8824.7,Sympla
Julieta,Cardoso,JulietaRochaCardoso@armyspy.com,F,1969-06-22,5550.63,Sympla
Martim,Barbosa,MartimSousaBarbosa@teleworm.us,M,1963-10-16,8201.13,Sympla
Laura,Azevedo,LauraFerreiraAzevedo@einrot.com,F,1963-06-02,8511.53,Sympla
Nicole,Correia,NicoleAzevedoCorreia@superrito.com,F,1951-12-22,8317.79,Sympla
Danilo,Pereira,DaniloCavalcantiPereira@jourrapide.com,M,1994-09-26,7502.66,Sympla
Erick,Gomes,ErickMartinsGomes@armyspy.com,M,1971-03-18,5174.46,Sympla
Giovanna,Oliveira,GiovannaMeloOliveira@jourrapide.com,F,1980-12-26,9733.15,Sympla
Sophia,Correia,SophiaRochaCorreia@teleworm.us,F,1994-01-22,5406.27,Sympla
Evely,Almeida,EvelynAzevedoAlmeida@jourrapide.com,F,1989-03-28,9709.22,Sympla
Evely,Fernandes,EvelynPereiraFernandes@cuvox.de,F,1957-12-18,9156.55,Sympla
Luana,Oliveira,LuanaCavalcantiOliveira@cuvox.de,F,1946-05-23,8011.57,Sympla
Nicole,Rodrigues,NicoleMartinsRodrigues@rhyta.com,F,1953-08-16,9772.61,Sympla
Breno,Oliveira,BrenoMeloOliveira@jourrapide.com,M,1964-09-08,6960.44,Sympla
Brenda,Castro,BrendaCostaCastro@gustr.com,F,1975-04-20,9923.97,Sympla
Sofia,Araujo,SofiaOliveiraAraujo@fleckens.hu,F,1958-11-30,5253.75,Ifood
Júlia,Fernandes,JuliaCardosoFernandes@armyspy.com,F,1976-01-16,7395.45,Ifood
Mariana,Cavalcanti,MarianaPereiraCavalcanti@supermail.com,F,1972-04-23,8694.06,Ifood
Tiago,Ferreira,TiagoRibeiroFerreira@teleworm.us,M,1962-03-27,6710.05,Ifood
Júlia,Fernandes,null,F,1994-10-03,5335.61,Ifood
André,Sousa,AndreDiasSousa@rhyta.com,M,1985-11-17,5345.71,Ifood
Júlia,Santos,JuliaCostaSantos@jourrapide.com,F,1954-05-19,6351.18,Ifood
Enzo,Santos,EnzoPintoSantos@gustr.com,M,1979-05-13,6014.02,Ifood
Eduardo,Barbosa,EduardoGomesBarbosa@gustr.com,M,1968-08-05,7450.18,Ifood
Daniel,Santos,DanielFerreiraSantos@supermail.com,M,1955-11-17,9671.59,Ifood
Samuel,Correia,SamuelRochaCorreia@superrito.com,M,1958-05-19,9072.3,Ifood
Antônio,Oliveira,AntonioPereiraOliveira@fleckens.hu,M,1960-08-16,7309.32,Ifood
Melissa,Azevedo,MelissaMeloAzevedo@fleckens.hu,F,1975-01-29,5976.51,Sympla
Guilherme,Costa,GuilhermeFernandesCosta@jourrapide.com,M,1959-05-22,9509.27,Sympla
Julia,Costa,JuliaFerreiraCosta@supermail.com,F,1984-09-15,7751.33,Sympla
Diogo,Lima,DiogoRodriguesLima@gustr.com,M,1952-01-26,5818.94,Sympla
Beatriz,Souza,BeatrizCavalcantiSouza@armyspy.com,F,1985-09-04,6361.9,Sympla
Sophia,Goncalves,SophiaBarrosGoncalves@superrito.com,F,1974-03-07,5515.81,Sympla
Kaua,Ribeiro,KauaAlvesRibeiro@fleckens.hu,M,1983-01-22,7107.75,Sympla
Ágatha,Barbosa,AgathaLimaBarbosa@superrito.com,F,1984-10-12,8071.92,Sympla
Vinicius,Souza,ViniciusGoncalvesSouza@gustr.com,M,1983-06-17,5004.63,Sympla
Beatrice,Martins,BeatriceCavalcantiMartins@gustr.com,F,1972-01-21,7091.29,Sympla
Isabelle,Pinto,IsabelleGomesPinto@armyspy.com,F,1983-07-07,7630.14,Sympla
Beatriz,Correia,BeatrizOliveiraCorreia@teleworm.us,F,1967-05-19,8995.78,Sympla
Thaís,Barros,ThaisFerreiraBarros@cuvox.de,F,1986-12-30,7010.51,Sympla
Marcos,Castro,MarcosAlvesCastro@armyspy.com,M,1949-11-23,8521.7,Sympla
Emily,Lima,EmilyCorreiaLima@cuvox.de,F,1981-10-16,8862.87,Sympla
Arthur,Araujo,ArthurMeloAraujo@cuvox.de,M,1979-11-05,9577.64,Sympla
Bruno,Almeida,BrunoGomesAlmeida@rhyta.com,M,1989-08-26,5997.98,Sympla
Leila,Rodrigues,LeilaCavalcantiRodrigues@armyspy.com,F,1986-10-14,8950.5,Sympla
Bruno,Silva,BrunoRodriguesSilva@superrito.com,M,1974-05-12,6294.7,Sympla
Bianca,Araujo,null,F,1988-01-05,7378.17,Sympla
Marina,Barros,MarinaFernandesBarros@rhyta.com,F,1992-11-15,6801.09,Sympla
Thaís,Santos,ThaisMeloSantos@gustr.com,F,1954-03-14,6158.01,Sympla
Luiz,Ferreira,LuizDiasFerreira@supermail.com,M,1967-02-09,9310.95,MovilePay
Isabella,Silva,IsabellaOliveiraSilva@jourrapide.com,F,1964-04-10,5792.36,MovilePay
Carla,Dias,CarlaSouzaDias@cuvox.de,F,1976-01-20,5544.13,MovilePay
Rena,Goncalves,RenanRibeiroGoncalves@rhyta.com,M,1977-01-12,9499.38,MovilePay
Vitória,Pereira,VitoriaSantosPereira@fleckens.hu,F,1980-03-25,8448.67,MovilePay
Samuel,Lima,SamuelSilvaLima@armyspy.com,M,1973-01-28,5732.02,MovilePay
Caio,Rocha,CaioAzevedoRocha@einrot.com,M,1980-08-04,6073.01,MovilePay
Igor,Oliveira,IgorRochaOliveira@jourrapide.com,M,1992-07-24,6542.61,MovilePay
Rebeca,Araujo,RebecaCunhaAraujo@cuvox.de,F,1989-10-20,5886.39,MovilePay
Marina,Pinto,MarinaBarrosPinto@einrot.com,F,1982-10-29,8058.99,MovilePay
Fernanda,Araujo,FernandaPintoAraujo@teleworm.us,F,1984-01-05,5899.86,MovilePay
Diego,Correia,DiegoRibeiroCorreia@einrot.com,M,1986-10-06,9624.54,MovilePay
Lucas,Rodrigues,LucasAzevedoRodrigues@cuvox.de,M,1956-12-03,6702.32,MovilePay
Gustavo,Silva,GustavoFerreiraSilva@teleworm.us,M,1989-10-17,5899.31,MovilePay
João,Ribeiro,JoaoLimaRibeiro@einrot.com,M,1950-04-27,9125.77,Ifood
Lucas,Gomes,LucasDiasGomes@armyspy.com,M,1988-05-05,8175.99,Ifood
Livia,Rocha,LiviaPintoRocha@superrito.com,F,1964-05-19,5216.4,Ifood
Gabrielle,Correia,GabrielleCavalcantiCorreia@cuvox.de,F,1994-05-13,8302.17,Ifood
Vitor,Correia,VitorDiasCorreia@teleworm.us,M,1965-03-30,7017.41,Ifood
Victor,Castro,VictorCunhaCastro@einrot.com,M,1959-10-05,8173.65,Ifood
Camila,Rodrigues,CamilaCarvalhoRodrigues@fleckens.hu,F,1946-08-14,5223.18,Ifood
Júlia,Ribeiro,JuliaRochaRibeiro@superrito.com,F,1972-10-28,5221.45,Ifood
Isabelle,Cunha,IsabelleBarrosCunha@armyspy.com,F,1946-09-10,5411.25,Ifood
Emily,Fernandes,EmilyAraujoFernandes@armyspy.com,F,1960-08-26,5042.26,Ifood
Leila,Castro,LeilaAlmeidaCastro@teleworm.us,F,1955-11-08,5791.16,Ifood
Vinicius,Barros,ViniciusSousaBarros@gustr.com,M,1958-05-30,5977.68,Ifood
Tomás,Melo,TomasMartinsMelo@armyspy.com,M,1951-02-17,9054.37,Ifood
Ana,Santos,AnaDiasSantos@rhyta.com,F,1963-03-18,7870.01,Ifood
Giovana,Silva,GiovanaCorreiaSilva@fleckens.hu,F,1989-10-15,7245.37,Ifood
Melissa,Almeida,MelissaPereiraAlmeida@rhyta.com,null,1977-12-23,9287.68,Ifood
Luana,Azevedo,LuanaSantosAzevedo@armyspy.com,F,1954-08-16,5949.09,Ifood
Miguel,Ribeiro,MiguelGoncalvesRibeiro@jourrapide.com,M,1989-03-09,7476.63,Ifood
Kaua,Santos,KauaSilvaSantos@cuvox.de,M,1974-07-01,8188.77,MovilePay
Emilly,Barbosa,EmillyOliveiraBarbosa@gustr.com,F,1947-12-18,9427.2,MovilePay
Rebeca,Cardoso,RebecaLimaCardoso@supermail.com,F,1975-05-16,7767.51,MovilePay
Danilo,Santos,DaniloCardosoSantos@jourrapide.com,M,1983-09-11,5647.69,MovilePay
Kaua,Azevedo,KauanBarrosAzevedo@armyspy.com,M,1969-11-11,9034.47,MovilePay
Vitór,Sousa,VitorGoncalvesSousa@cuvox.de,M,1966-02-28,6697.76,MovilePay
Anna,Lima,AnnaCardosoLima@cuvox.de,F,1955-02-28,6917.63,MovilePay
Vinícius,Almeida,ViniciusMeloAlmeida@fleckens.hu,M,1955-11-27,8066.56,MovilePay
Beatrice,Costa,BeatriceLimaCosta@rhyta.com,F,1975-09-20,6744.01,MovilePay
Lucas,Almeida,LucasLimaAlmeida@superrito.com,M,1948-03-30,7952.05,MovilePay
Enzo,Dias,EnzoGoncalvesDias@jourrapide.com,M,1952-07-31,5960.2,MovilePay
Daniel,Lima,DanielPereiraLima@jourrapide.com,M,1951-09-06,5311.69,MovilePay
Matilde,Rodrigues,MatildePintoRodrigues@superrito.com,F,1972-05-08,6108.42,MovilePay
Tânia,Fernandes,TaniaGomesFernandes@superrito.com,F,1970-12-12,5572.33,MovilePay
Alex,Barbosa,AlexSilvaBarbosa@supermail.com,M,1977-04-12,8612.0,MovilePay
Lavinia,Gomes,LaviniaCardosoGomes@einrot.com,F,1976-11-23,8379.82,MovilePay
Kauã,Lima,KauaGomesLima@fleckens.hu,M,1981-02-12,5786.88,MovilePay
Felipe,Costa,null,M,1975-11-28,8461.7,MovilePay
Letícia,Correia,LeticiaOliveiraCorreia@fleckens.hu,F,1956-10-05,9551.74,MovilePay
Rena,Barros,RenanOliveiraBarros@superrito.com,M,1981-10-31,9806.96,MovilePay
Mateus,Martins,MateusSantosMartins@jourrapide.com,M,1984-01-26,6482.42,MovilePay
Bianca,Almeida,BiancaSantosAlmeida@rhyta.com,F,1983-06-15,5725.26,MovilePay
Júlia,Goncalves,JuliaSilvaGoncalves@rhyta.com,F,1985-07-07,7189.83,MovilePay
Miguel,Cardoso,MiguelCastroCardoso@einrot.com, ,1945-10-26,7256.11,Zoop
Guilherme,Fernandes,GuilhermeSousaFernandes@einrot.com,M,1979-03-04,9603.5,Zoop
Rena,Carvalho,RenanSousaCarvalho@fleckens.hu,M,1992-02-07,7083.79,Zoop
Livia,Pinto,LiviaCastroPinto@fleckens.hu,F,1948-03-09,9234.2,Zoop
Samuel,Azevedo,SamuelMeloAzevedo@einrot.com,M,1969-03-30,6568.94,Zoop
Nicole,Oliveira,NicoleCostaOliveira@fleckens.hu,F,1969-07-11,6224.9,Zoop
Isabela,Costa,IsabelaMartinsCosta@teleworm.us,F,1952-08-24,5417.22,Zoop
Júlio,Pinto,null,M,1978-08-23,9130.16,Zoop
Luana,Azevedo,LuanaSantosAzevedo@armyspy.com,F,1954-08-16,7757.17,Zoop
Júlio,Alves,JulioSilvaAlves@armyspy.com,M,1965-01-31,5406.7,Zoop
Maria,Lima,MariaRibeiroLima@supermail.com,F,1953-06-08,7660.13,Zoop
Julia,Rodrigues,JuliaGoncalvesRodrigues@fleckens.hu,F,1965-05-11,9687.07,Zoop
Tiago,Cavalcanti,TiagoLimaCavalcanti@teleworm.us,M,1959-04-18,7138.36,Zoop
Gustavo,Correia,GustavoOliveiraCorreia@rhyta.com,M,1994-02-03,8417.11,Zoop
Aline,Pinto,AlineCardosoPinto@armyspy.com,F,1983-11-14,7151.37,Zoop
Alice,Almeida,AliceCavalcantiAlmeida@gustr.com,F,1991-05-18,7690.28,Zoop
Lua,Melo,LuanFerreiraMelo@gustr.com,M,1988-03-23,7976.55,Zoop
Evely,Souza,EvelynRodriguesSouza@armyspy.com, ,1972-12-02,5965.86,Zoop
Luana,Martins,LuanaBarbosaMartins@gustr.com,F,1965-03-10,8048.75,Zoop
Davi,Cavalcanti,DaviBarbosaCavalcanti@supermail.com,M,1969-05-04,5850.84,Zoop
Julia,Pinto,JuliaPereiraPinto@fleckens.hu,F,1967-09-23,9768.71,Zoop
Esteva,Castro,EstevanSantosCastro@rhyta.com,M,1967-05-09,8697.17,Zoop
Matilde,Cavalcanti,MatildeRibeiroCavalcanti@einrot.com,F,1965-01-06,8761.75,Zoop
Luís,Araujo,LuisCarvalhoAraujo@armyspy.com,M,1973-05-16,7095.57,Zoop
Rodrigo,Ferreira,RodrigoGoncalvesFerreira@rhyta.com,M,1975-05-07,8574.7,Zoop
Cauã,Sousa,CauaCastroSousa@supermail.com,M,1986-06-28,9139.05,MovilePay
Carolina,Rodrigues,CarolinaOliveiraRodrigues@armyspy.com,F,1976-01-22,7689.52,MovilePay
Emilly,Carvalho,EmillyMartinsCarvalho@rhyta.com,F,1963-04-02,7680.03,MovilePay
Gabriela,Pinto,GabrielaAlvesPinto@cuvox.de,F,1951-02-13,5115.87,MovilePay
Paulo,Martins,PauloCorreiaMartins@superrito.com,M,1986-07-24,9059.75,MovilePay
Alex,Sousa,AlexRochaSousa@jourrapide.com,M,1963-03-09,9793.11,MovilePay
Kauê,Barbosa,KaueSousaBarbosa@jourrapide.com,M,1990-03-08,6255.16,MovilePay
Julieta,Melo,JulietaCunhaMelo@supermail.com,F,1967-09-25,6804.93,MovilePay
Manuela,Melo,ManuelaCostaMelo@einrot.com,F,1952-04-28,5579.45,MovilePay
Clara,Carvalho,ClaraCastroCarvalho@einrot.com,F,1965-10-01,7583.86,MovilePay
Manuela,Goncalves,ManuelaSouzaGoncalves@cuvox.de,F,1994-05-30,7098.0,MovilePay
Luis,Pereira,LuisDiasPereira@armyspy.com,M,1975-08-07,9059.87,MovilePay
Bianca,Rocha,BiancaPereiraRocha@fleckens.hu,F,1943-08-04,5792.34,MovilePay
 ,Fernandes,JoaoCarvalhoFernandes@cuvox.de,M,1975-09-16,6929.99,MovilePay
 ,Almeida,JoaoLimaAlmeida@armyspy.com,M,1947-09-10,8766.31,MovilePay
Julia,Goncalves,JuliaPintoGoncalves@armyspy.com,F,1976-12-09,8082.94,MovilePay
André,Martins,AndreAraujoMartins@supermail.com,M,1954-12-31,8140.33,MovilePay
Vinícius,Sousa,ViniciusLimaSousa@supermail.com,M,1975-12-25,9843.89,MovilePay
Tomás,Fernandes,TomasAzevedoFernandes@teleworm.us,M,1963-03-28,6800.6,MovilePay
Isabella,Gomes,IsabellaLimaGomes@jourrapide.com,F,1965-01-01,6501.2,MovilePay
Nicolash,Cavalcanti,NicolashMartinsCavalcanti@cuvox.de,M,1945-11-27,6544.79,MovilePay
Brenda,Oliveira,BrendaBarbosaOliveira@fleckens.hu,F,1969-01-11,8164.7,MovilePay
Leila,Goncalves,LeilaBarrosGoncalves@fleckens.hu,F,1993-03-27,7003.76,MovilePay
Camila,Cunha,CamilaCavalcantiCunha@einrot.com,F,1982-12-22,8584.66,MovilePay
Maria,Oliveira,MariaDiasOliveira@teleworm.us,F,1945-02-14,7321.31,MovilePay
Kai,Costa,KaiRibeiroCosta@supermail.com,M,1947-01-15,9973.91,MovilePay
Douglas,Cavalcanti,DouglasBarrosCavalcanti@jourrapide.com,M,1950-11-03,7514.92,MovilePay
Fernanda,Cunha,FernandaDiasCunha@einrot.com,F,1970-09-09,7021.0,Ifood
Miguel,Sousa,MiguelGoncalvesSousa@fleckens.hu,M,1992-12-13,7608.23,Ifood
Fernanda,Gomes,FernandaSilvaGomes@cuvox.de,F,1986-08-11,7305.44,Ifood
Kai,Correia,KaiSouzaCorreia@rhyta.com,M,1958-09-27,9509.46,Ifood
Júlia,Costa,JuliaAlvesCosta@cuvox.de,F,1968-07-02,5886.83,Ifood
Martim,Cunha,MartimAlvesCunha@cuvox.de,M,1947-01-13,9018.23,Ifood
Carlos,Rodrigues,CarlosCavalcantiRodrigues@einrot.com,M,1976-02-21,6437.7,Ifood
Raissa,Cunha,RaissaAlvesCunha@cuvox.de,F,1958-01-16,8320.86,Ifood
Isabelle,Rocha,IsabelleSouzaRocha@teleworm.us,F,1993-06-22,6301.82,Ifood
